name,asset_type,tags,location_id,street_address,unit,unit_type,municipality,city,state,zip_code,latitude,longitude,parcel_id,residence,iffy_geocoding,available_transportation,parent_location_id,parent_location,url,email,phone,hours_of_operation,holiday_hours_of_operation,periodicity,capacity,wifi_network,internet_access,computers_available,accessibility,open_to_public,child_friendly,sensitive,do_not_display,localizability,services,hard_to_count_population,data_source_names,data_source_urls,organization_name,organization_phone,organization_email,etl_notes,geocoding_properties
TARENTUM SENIOR HOUSING aka Daltons Edge,affordable_housing,,2282,700 2nd Ave,,,,Tarentum,PA,15084-2020,40.603461,-79.7454215,,,,,,,,,14128127253,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
SWISSVALE TOWERS,affordable_housing,,2247,1826 Monongahela Ave,,,,Pittsburgh,PA,15218-2358,40.42225822,-79.89064371,,,,,,,,,14123516031,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
SWEETBRIAR PLACE,affordable_housing,,2246,211 Sweetbriar St,,,,Pittsburgh,PA,15211-1100,40.43791473,-80.02173511,,,,,,,,,14124310211,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
SUSQUEHANNA HOMES,affordable_housing,,2245,7235 Tioga Street,,,,Pittsburgh,PA,15208-1854,40.45375425,-79.89632688,,,,,,,,,,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
STO-ROX PLAZA,affordable_housing,,2244,731 Chartiers Ave,,,,Pittsburgh,PA,15136-3666,40.441914,-80.038494,,,,,,,,,14123314112,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
American Serbian Club,community_nonprofit_orgs,fish fry,374,2524 SARAH ST,,,,PITTSBURGH,PA,15203,40.426468,-79.969303,,,,,,,https://www.americanserbianclub.club/events,htcpgh@gmail.com,14124319351,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Wednesday Feb 26 from 11:00 AM to 2:00 PM, Friday Feb 28 from 11:00 AM to 2:00 PM, Friday Feb 28 from 4:00 PM to 7:00 PM, Friday Mar 6 from 11:00 AM to 2:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 11:00 AM to 2:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 11:00 AM to 2:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Friday Apr 3 from 11:00 AM to 2:00 PM, Friday Apr 3 from 4:00 PM to 7:00 PM, Friday Apr 10 from 11:00 AM to 2:00 PM, Friday Apr 10 from 4:00 PM to 7:00 PM",
"Christ United Methodist Church, Bethel Park",community_nonprofit_orgs,fish fry,231,44 HIGHLAND RD,,,,BETHEL PARK,PA,,40.348504,-80.048385,,,,,,,https://www.christumc.net/fishfry,jmorgan@christumc.net,14128356621,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 11:00 AM to 2:00 PM, Friday Feb 28 from 4:00 PM to 7:00 PM, Friday Mar 6 from 11:00 AM to 2:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 11:00 AM to 2:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 11:00 AM to 2:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 11:00 AM to 2:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Friday Apr 3 from 11:00 AM to 2:00 PM, Friday Apr 3 from 4:00 PM to 7:00 PM",
Community Kitchen Pittsburgh (Hazelwood),community_nonprofit_orgs,fish fry,254,107 FLOWERS AVE,,,,PITTSBURGH,PA,15207,40.410187,-79.943718,,,,,,,https://www.ckpgh.org/,info@ckpgh.org,14122464736,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 11:00 AM to 7:00 PM, Friday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 13 from 11:00 AM to 7:00 PM, Friday Mar 20 from 11:00 AM to 7:00 PM, Friday Mar 27 from 11:00 AM to 7:00 PM, Friday Apr 3 from 11:00 AM to 7:00 PM, Friday Apr 10 from 11:00 AM to 7:00 PM",
Crescent Township Volunteer Fire Department,community_nonprofit_orgs,fish fry,146,79 MCGOVERN BLVD,,,,CRESCENT,PA,15046,40.556081,-80.221063,,,,,,,http://crescenttwpfire.org,crescentfiredept129@gmail.com,17244577430,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Wednesday Feb 26 from 4:00 PM to 7:00 PM, Friday Feb 28 from 4:00 PM to 7:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Friday Apr 3 from 4:00 PM to 7:00 PM, Friday Apr 10 from 4:00 PM to 7:00 PM",
Economy Volunteer Fire Department 1 Station 69,community_nonprofit_orgs,fish fry,368,3308 CONWAY WALLROSE RD,,,,ECONOMY,PA,15042,40.632601,-80.160665,,,,,,,https://www.facebook.com/economyfire69/,,,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"THE PHONE NUMBER FIELD SHOULD HAVE THIS VALUE: 724-266-3714 or 724-266-1116. Fish Fry events: Friday Feb 28 from 4:00 PM to 7:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Friday Apr 3 from 4:00 PM to 7:00 PM, Friday Apr 10 from 4:00 PM to 7:00 PM",
